2026-03-06 18:59:14,724 | INFO | scraper.comment_scroller | Scroll iteration 10
2026-03-06 18:59:16,743 | INFO | scraper.comment_scroller | Finished scrolling comments
2026-03-06 18:59:16,744 | INFO | scraper.comment_extractor | Extracting comments from page
2026-03-06 18:59:16,780 | INFO | scraper.comment_extractor | Total comment containers: 23
2026-03-06 18:59:17,381 | INFO | scraper.comment_extractor | Extracted 0 comments
2026-03-06 18:59:27,389 | INFO | scraper.browser | Closing browser
2026-03-06 19:05:27,320 | INFO | scraper.browser | Starting Playwright
2026-03-06 19:05:28,350 | INFO | scraper.browser | Browser launched successfully
2026-03-06 19:05:28,351 | INFO | scraper.linkedin_login | Navigating to LinkedIn login page
2026-03-06 19:05:31,708 | INFO | scraper.linkedin_login | Entering credentials
2026-03-06 19:05:36,980 | INFO | scraper.linkedin_login | LinkedIn login successful
2026-03-06 19:05:39,990 | INFO | scraper.comment_scroller | Opening LinkedIn post: https://www.linkedin.com/posts/shaktesh-pandey-3a2936245_most-transformed-students-award-goes-to-activity-7434753641732939776-P5bp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADzUGaoBsNWoHsC-PjTuvyq3zhztiMg0GB4
2026-03-06 19:05:50,761 | INFO | scraper.comment_scroller | Starting comment scrolling
2026-03-06 19:05:50,761 | INFO | scraper.comment_scroller | Scroll iteration 1
2026-03-06 19:05:52,825 | INFO | scraper.comment_scroller | Clicking load more comments
2026-03-06 19:05:53,021 | WARNING | scraper.comment_scroller | Load more comments button not found
2026-03-06 19:05:53,045 | INFO | scraper.comment_scroller | Scroll iteration 2
2026-03-06 19:05:55,076 | INFO | scraper.comment_scroller | Scroll iteration 3
2026-03-06 19:05:57,107 | INFO | scraper.comment_scroller | Scroll iteration 4
2026-03-06 19:05:59,131 | INFO | scraper.comment_scroller | Scroll iteration 5
2026-03-06 19:06:01,162 | INFO | scraper.comment_scroller | Scroll iteration 6
2026-03-06 19:06:03,191 | INFO | scraper.comment_scroller | Scroll iteration 7
2026-03-06 19:06:05,219 | INFO | scraper.comment_scroller | Scroll iteration 8
2026-03-06 19:06:07,244 | INFO | scraper.comment_scroller | Scroll iteration 9
2026-03-06 19:06:09,268 | INFO | scraper.comment_scroller | Scroll iteration 10
2026-03-06 19:06:11,293 | INFO | scraper.comment_scroller | Finished scrolling comments
2026-03-06 19:06:11,294 | INFO | scraper.comment_extractor | Extracting comments from page
2026-03-06 19:06:11,335 | INFO | scraper.comment_extractor | Found containers using selector: article.comments-comment-entity
2026-03-06 19:06:11,336 | INFO | scraper.comment_extractor | Total comment containers: 23
2026-03-06 19:06:12,965 | INFO | scraper.comment_extractor | Extracted 23 comments
2026-03-06 19:06:22,967 | INFO | scraper.browser | Closing browser
2026-03-06 19:09:24,173 | INFO | scraper.browser | Starting Playwright
2026-03-06 19:09:25,182 | INFO | scraper.browser | Browser launched successfully
2026-03-06 19:09:25,182 | INFO | scraper.linkedin_login | Navigating to LinkedIn login page
2026-03-06 19:09:27,843 | INFO | scraper.linkedin_login | Entering credentials
2026-03-06 19:09:32,868 | INFO | scraper.linkedin_login | LinkedIn login successful
2026-03-06 19:09:35,877 | INFO | scraper.comment_scroller | Opening LinkedIn post: https://www.linkedin.com/posts/shaktesh-pandey-3a2936245_most-transformed-students-award-goes-to-activity-7434753641732939776-P5bp?utm_source=share&utm_medium=member_desktop&rcm=ACoAADzUGaoBsNWoHsC-PjTuvyq3zhztiMg0GB4
2026-03-06 19:09:44,102 | INFO | scraper.comment_scroller | Starting comment scrolling
2026-03-06 19:09:44,103 | INFO | scraper.comment_scroller | Scroll iteration 1
